title,date
Tesla countersues California agency behind race discrimination lawsuit,2022-09-26
An Elon Musk superfan made the Forbes 400 list after snapping up Tesla stock during the pandemic,2022-09-28
Tesla stock sinks as Q3 deliveries set record but fall short of expectations,2022-10-03
Tesla recalls more than a million cars over a fault with its automatic windows,2022-09-22
'Big Short' investor Michael Burry reveals he isn't betting against Tesla right now - but says he should be,2022-09-21
Tesla just gave us a fresh glimpse of its humanoid robot ahead of its big AI Day event. What we know so far about the Optimus project.,2022-09-30
"Tesla's gigafactory is reportedly warning employees about smoke exposure amid the Mosquito Fire and changing air filters, but work continues",2022-09-19
I drove a Tesla for the first time after testing 14 other electric cars. Now I get why people are so obsessed with Elon Musk's vehicles.,2022-09-17
"A Tesla owner says he was locked out of his electric car after the battery died — an issue that he says would cost over $20,000 to fix",2022-09-21
Elon Musk says Tesla's Cybertruck will be able to 'serve briefly as a boat' to cross rivers and lakes,2022-09-29
"Retail investors are about to throw in the towel and finally sell if Apple and Tesla stumble, Vanda Research says",2022-09-29
Elon Musk touted the 'importance' of Tesla being a publicly traded company just 4 years after trying to take it private with his 'funding secured' tweet,2022-10-01
Cathie Wood's Ark Invest bought the dip in Tesla after sell-off sparked by disappointing delivery figures,2022-10-04
"I drove a Tesla Model Y and discovered 6 reasons not to buy Elon Musk's $66,000 electric SUV",2022-09-19
"I drove the Tesla Model Y and found 7 reasons to buy Elon Musk's $66,000 electric SUV over rivals",2022-09-24
Morale 'sucks' at EV startups like Lucid and Rivian. That could be a death blow for the Tesla wannabes.,2022-10-03
